CHAMP1,CHAMP2,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY,PERCENTDEFEAT,YEAR,SEASON,TEAM
Kindred,Karma,2,0,2,1.0,0.0,2016,Summer,Red
Ezreal,Karma,50,0,50,1.0,0.0,2016,Summer,Red
Fiora,Gragas,6,5,11,0.5454545454545454,0.45454545454545453,2016,Summer,Blue
Gragas,Anivia,1,0,1,1.0,0.0,2016,Summer,Blue
Lucian,Zyra,6,0,6,1.0,0.0,2016,Summer,Blue
RekSai,Vladimir,1,0,1,1.0,0.0,2016,Summer,Red
Maokai,RekSai,12,8,20,0.6,0.4,2016,Summer,Blue
RekSai,Viktor,1,0,1,1.0,0.0,2016,Summer,Blue
Ashe,Bard,23,0,23,1.0,0.0,2016,Summer,Blue
Vladimir,Elise,0,1,1,0.0,1.0,2016,Summer,Red
Elise,Ekko,1,0,1,1.0,0.0,2016,Summer,Red
Elise,Karma,1,0,1,1.0,0.0,2016,Summer,Red
Gragas,Swain,1,0,1,1.0,0.0,2016,Summer,Blue
RekSai,Braum,96,0,96,1.0,0.0,2016,Summer,Red
Ashe,Braum,48,0,48,1.0,0.0,2016,Summer,Red
Maokai,Khazix,1,1,2,0.5,0.5,2016,Summer,Blue
Khazix,Swain,1,0,1,1.0,0.0,2016,Summer,Blue
Khazix,Karma,3,0,3,1.0,0.0,2016,Summer,Blue
Sivir,Karma,56,0,56,1.0,0.0,2016,Summer,Blue
RekSai,Azir,3,0,3,1.0,0.0,2016,Summer,Red
Ezreal,Zyra,12,0,12,1.0,0.0,2016,Summer,Red
Swain,Graves,2,5,7,0.2857142857142857,0.7142857142857143,2016,Summer,Blue
Graves,Fizz,1,0,1,1.0,0.0,2016,Summer,Blue
Sivir,Braum,68,0,68,1.0,0.0,2016,Summer,Blue
Fiora,RekSai,10,8,18,0.5555555555555556,0.4444444444444444,2016,Summer,Red
Elise,Vladimir,2,0,2,1.0,0.0,2016,Summer,Blue
Elise,Braum,65,0,65,1.0,0.0,2016,Summer,Blue
Sivir,Bard,30,0,30,1.0,0.0,2016,Summer,Red
Vladimir,Gragas,1,1,2,0.5,0.5,2016,Summer,Blue
Gragas,Gangplank,1,0,1,1.0,0.0,2016,Summer,Blue
Ashe,Zyra,10,0,10,1.0,0.0,2016,Summer,Blue
Ekko,LeeSin,7,3,10,0.7,0.3,2016,Summer,Red
LeeSin,Swain,1,0,1,1.0,0.0,2016,Summer,Red
LeeSin,Braum,12,0,12,1.0,0.0,2016,Summer,Red
Caitlyn,Braum,24,0,24,1.0,0.0,2016,Summer,Red
Ekko,RekSai,18,17,35,0.5142857142857142,0.4857142857142857,2016,Summer,Blue
RekSai,Ryze,2,0,2,1.0,0.0,2016,Summer,Blue
RekSai,Nami,31,0,31,1.0,0.0,2016,Summer,Blue
Sivir,Nami,24,0,24,1.0,0.0,2016,Summer,Blue
Maokai,Graves,11,14,25,0.44,0.56,2016,Summer,Red
Graves,Anivia,3,0,3,1.0,0.0,2016,Summer,Red
Graves,Soraka,4,0,4,1.0,0.0,2016,Summer,Red
Lucian,Soraka,8,0,8,1.0,0.0,2016,Summer,Red
Maokai,LeeSin,8,2,10,0.8,0.2,2016,Summer,Blue
LeeSin,Viktor,4,0,4,1.0,0.0,2016,Summer,Blue
LeeSin,Nami,6,0,6,1.0,0.0,2016,Summer,Blue
Ezreal,Nami,22,0,22,1.0,0.0,2016,Summer,Blue
Swain,RekSai,8,10,18,0.4444444444444444,0.5555555555555556,2016,Summer,Red
Lucian,Bard,23,0,23,1.0,0.0,2016,Summer,Red
Ekko,Graves,10,13,23,0.43478260869565216,0.5652173913043478,2016,Summer,Blue
Graves,Viktor,1,0,1,1.0,0.0,2016,Summer,Blue
RekSai,Leblanc,1,0,1,1.0,0.0,2016,Summer,Red
Sivir,Braum,63,0,63,1.0,0.0,2016,Summer,Red
Elise,Azir,1,0,1,1.0,0.0,2016,Summer,Blue
Lucian,Braum,57,0,57,1.0,0.0,2016,Summer,Blue
RekSai,Zyra,8,0,8,1.0,0.0,2016,Summer,Blue
Twitch,Zyra,1,0,1,1.0,0.0,2016,Summer,Blue
Irelia,Olaf,2,3,5,0.4,0.6,2016,Summer,Red
Olaf,Ryze,2,0,2,1.0,0.0,2016,Summer,Red
Olaf,Nami,7,0,7,1.0,0.0,2016,Summer,Red
Sivir,Nami,24,0,24,1.0,0.0,2016,Summer,Red
Irelia,Nidalee,11,4,15,0.7333333333333333,0.26666666666666666,2016,Summer,Blue
Nidalee,TwistedFate,4,0,4,1.0,0.0,2016,Summer,Blue
Nidalee,Soraka,6,0,6,1.0,0.0,2016,Summer,Blue
Sivir,Soraka,10,0,10,1.0,0.0,2016,Summer,Blue
Graves,Lissandra,1,0,1,1.0,0.0,2016,Summer,Red
Caitlyn,Zyra,5,0,5,1.0,0.0,2016,Summer,Red
Irelia,RekSai,24,23,47,0.5106382978723404,0.48936170212765956,2016,Summer,Red
RekSai,Anivia,1,0,1,1.0,0.0,2016,Summer,Red
Shen,RekSai,20,20,40,0.5,0.5,2016,Summer,Blue
RekSai,Braum,74,0,74,1.0,0.0,2016,Summer,Blue
Irelia,Elise,22,13,35,0.6285714285714286,0.37142857142857144,2016,Summer,Red
Elise,Swain,2,0,2,1.0,0.0,2016,Summer,Red
Irelia,Graves,2,6,8,0.25,0.75,2016,Summer,Blue
Graves,Ekko,1,0,1,1.0,0.0,2016,Summer,Blue
Graves,Zyra,2,0,2,1.0,0.0,2016,Summer,Blue
Sivir,Zyra,6,0,6,1.0,0.0,2016,Summer,Blue
JarvanIV,RekSai,2,0,2,1.0,0.0,2016,Summer,Red
RekSai,Zilean,6,0,6,1.0,0.0,2016,Summer,Red
Jax,Elise,4,3,7,0.5714285714285714,0.42857142857142855,2016,Summer,Blue
Elise,Swain,1,0,1,1.0,0.0,2016,Summer,Blue
Fizz,Kindred,2,3,5,0.4,0.6,2016,Summer,Red
Kindred,Anivia,1,0,1,1.0,0.0,2016,Summer,Red
Irelia,RekSai,18,20,38,0.47368421052631576,0.5263157894736842,2016,Summer,Blue
Swain,Graves,0,5,5,0.0,1.0,2016,Summer,Red
Graves,Vladimir,1,0,1,1.0,0.0,2016,Summer,Red
Graves,Karma,11,0,11,1.0,0.0,2016,Summer,Red
Jax,Kindred,2,1,3,0.6666666666666666,0.3333333333333333,2016,Summer,Blue
Kindred,Swain,1,0,1,1.0,0.0,2016,Summer,Blue
Graves,Braum,32,0,32,1.0,0.0,2016,Summer,Red
Maokai,Kindred,11,8,19,0.5789473684210527,0.42105263157894735,2016,Summer,Blue
Kindred,Azir,1,0,1,1.0,0.0,2016,Summer,Blue
Kindred,Zyra,3,0,3,1.0,0.0,2016,Summer,Blue
Fizz,Elise,3,3,6,0.5,0.5,2016,Summer,Red
Elise,Varus,3,0,3,1.0,0.0,2016,Summer,Red
Elise,Alistar,25,0,25,1.0,0.0,2016,Summer,Red
Maokai,Nidalee,7,7,14,0.5,0.5,2016,Summer,Blue
Nidalee,Viktor,1,0,1,1.0,0.0,2016,Summer,Blue
Kindred,Karma,6,0,6,1.0,0.0,2016,Summer,Blue
Elise,Zyra,6,0,6,1.0,0.0,2016,Summer,Red
Sivir,Zyra,5,0,5,1.0,0.0,2016,Summer,Red
Maokai,Olaf,1,1,2,0.5,0.5,2016,Summer,Red
Olaf,Viktor,1,0,1,1.0,0.0,2016,Summer,Red
Olaf,Bard,5,0,5,1.0,0.0,2016,Summer,Red
Trundle,RekSai,20,15,35,0.5714285714285714,0.42857142857142855,2016,Summer,Blue
Lucian,Nami,13,0,13,1.0,0.0,2016,Summer,Blue
Irelia,Graves,2,5,7,0.2857142857142857,0.7142857142857143,2016,Summer,Red
RekSai,Soraka,12,0,12,1.0,0.0,2016,Summer,Blue
Ashe,Soraka,5,0,5,1.0,0.0,2016,Summer,Blue
Swain,RekSai,10,6,16,0.625,0.375,2016,Summer,Blue
RekSai,Zilean,6,0,6,1.0,0.0,2016,Summer,Blue
Lucian,Bard,26,0,26,1.0,0.0,2016,Summer,Blue
Fiora,Elise,3,4,7,0.42857142857142855,0.5714285714285714,2016,Summer,Blue
Elise,Viktor,1,0,1,1.0,0.0,2016,Summer,Blue
Elise,Zyra,9,0,9,1.0,0.0,2016,Summer,Blue
Trundle,Rengar,1,0,1,1.0,0.0,2016,Summer,Red
Rengar,Zilean,1,0,1,1.0,0.0,2016,Summer,Red
Rengar,Karma,1,0,1,1.0,0.0,2016,Summer,Red
Irelia,Elise,16,10,26,0.6153846153846154,0.38461538461538464,2016,Summer,Blue
Elise,Ryze,1,0,1,1.0,0.0,2016,Summer,Blue
Tristana,Zyra,1,0,1,1.0,0.0,2016,Summer,Blue
Jax,Gragas,0,4,4,0.0,1.0,2016,Summer,Red
Gragas,Viktor,2,0,2,1.0,0.0,2016,Summer,Red
Gragas,Alistar,34,0,34,1.0,0.0,2016,Summer,Red
Ashe,Alistar,25,0,25,1.0,0.0,2016,Summer,Red
Gragas,Viktor,3,0,3,1.0,0.0,2016,Summer,Blue
Fizz,RekSai,6,7,13,0.46153846153846156,0.5384615384615384,2016,Summer,Red
RekSai,Swain,1,0,1,1.0,0.0,2016,Summer,Red
Graves,Anivia,1,0,1,1.0,0.0,2016,Summer,Blue
Illaoi,Nidalee,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Ziggs,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Karma,7,0,7,1.0,0.0,2016,Summer,Red
Vayne,Karma,2,0,2,1.0,0.0,2016,Summer,Red
Kindred,Zilean,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Braum,43,0,43,1.0,0.0,2016,Summer,Blue
Ashe,Braum,44,0,44,1.0,0.0,2016,Summer,Blue
Renekton,Nidalee,1,0,1,1.0,0.0,2016,Summer,Blue
Irelia,Kindred,0,3,3,0.0,1.0,2016,Summer,Red
Kindred,Bard,17,0,17,1.0,0.0,2016,Summer,Red
Shen,Kindred,0,11,11,0.0,1.0,2016,Summer,Blue
Kindred,Vladimir,2,0,2,1.0,0.0,2016,Summer,Blue
Kindred,Bard,13,0,13,1.0,0.0,2016,Summer,Blue
Sivir,Bard,41,0,41,1.0,0.0,2016,Summer,Blue
Olaf,Anivia,1,0,1,1.0,0.0,2016,Summer,Red
Trundle,Gragas,33,16,49,0.673469387755102,0.32653061224489793,2016,Summer,Red
Gragas,Azir,2,0,2,1.0,0.0,2016,Summer,Red
Gragas,Thresh,12,0,12,1.0,0.0,2016,Summer,Red
Ashe,Thresh,14,0,14,1.0,0.0,2016,Summer,Red
Fizz,RekSai,7,3,10,0.7,0.3,2016,Summer,Blue
Caitlyn,Nami,12,0,12,1.0,0.0,2016,Summer,Blue
Gragas,Lissandra,1,0,1,1.0,0.0,2016,Summer,Red
Gragas,Soraka,5,0,5,1.0,0.0,2016,Summer,Red
Sivir,Soraka,8,0,8,1.0,0.0,2016,Summer,Red
Irelia,Nidalee,10,4,14,0.7142857142857143,0.2857142857142857,2016,Summer,Red
Nidalee,Zilean,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Braum,28,0,28,1.0,0.0,2016,Summer,Red
Trundle,Elise,29,19,48,0.6041666666666666,0.3958333333333333,2016,Summer,Red
Elise,Azir,1,0,1,1.0,0.0,2016,Summer,Red
Elise,Bard,27,0,27,1.0,0.0,2016,Summer,Red
Jhin,Bard,32,0,32,1.0,0.0,2016,Summer,Red
Jhin,Bard,21,0,21,1.0,0.0,2016,Summer,Blue
Swain,Gragas,1,1,2,0.5,0.5,2016,Summer,Red
Gragas,Karma,10,0,10,1.0,0.0,2016,Summer,Red
Trundle,Olaf,1,4,5,0.2,0.8,2016,Summer,Blue
Olaf,Azir,1,0,1,1.0,0.0,2016,Summer,Blue
Olaf,Bard,12,0,12,1.0,0.0,2016,Summer,Blue
Shen,Hecarim,6,10,16,0.375,0.625,2016,Summer,Red
Hecarim,Karma,10,0,10,1.0,0.0,2016,Summer,Red
Hecarim,Nami,3,0,3,1.0,0.0,2016,Summer,Red
Jhin,Karma,39,0,39,1.0,0.0,2016,Summer,Blue
Nidalee,Nami,8,0,8,1.0,0.0,2016,Summer,Blue
Ryze,RekSai,2,3,5,0.4,0.6,2016,Summer,Red
RekSai,Trundle,22,0,22,1.0,0.0,2016,Summer,Red
Ezreal,Trundle,11,0,11,1.0,0.0,2016,Summer,Red
Gragas,Varus,1,0,1,1.0,0.0,2016,Summer,Blue
Lissandra,RekSai,3,2,5,0.6,0.4,2016,Summer,Red
Jinx,Braum,3,0,3,1.0,0.0,2016,Summer,Red
Irelia,Olaf,3,2,5,0.6,0.4,2016,Summer,Blue
Olaf,Vladimir,1,0,1,1.0,0.0,2016,Summer,Blue
Jax,RekSai,4,9,13,0.3076923076923077,0.6923076923076923,2016,Summer,Red
Jax,Nidalee,2,1,3,0.6666666666666666,0.3333333333333333,2016,Summer,Blue
Nidalee,Anivia,2,0,2,1.0,0.0,2016,Summer,Blue
Twitch,Braum,4,0,4,1.0,0.0,2016,Summer,Blue
RekSai,Ryze,1,0,1,1.0,0.0,2016,Summer,Red
Shen,Olaf,5,2,7,0.7142857142857143,0.2857142857142857,2016,Summer,Blue
Olaf,Karma,17,0,17,1.0,0.0,2016,Summer,Blue
Nidalee,Anivia,1,0,1,1.0,0.0,2016,Summer,Red
Vayne,Braum,3,0,3,1.0,0.0,2016,Summer,Red
Vladimir,Nidalee,0,1,1,0.0,1.0,2016,Summer,Blue
Twitch,Soraka,2,0,2,1.0,0.0,2016,Summer,Blue
Jax,Elise,2,4,6,0.3333333333333333,0.6666666666666666,2016,Summer,Red
Elise,Ziggs,1,0,1,1.0,0.0,2016,Summer,Red
Caitlyn,Karma,33,0,33,1.0,0.0,2016,Summer,Red
Jax,RekSai,5,5,10,0.5,0.5,2016,Summer,Blue
RekSai,Lissandra,1,0,1,1.0,0.0,2016,Summer,Blue
Irelia,Gragas,17,11,28,0.6071428571428571,0.39285714285714285,2016,Summer,Red
Rumble,Olaf,4,3,7,0.5714285714285714,0.42857142857142855,2016,Summer,Blue
Olaf,Ryze,1,0,1,1.0,0.0,2016,Summer,Blue
Olaf,Zyra,7,0,7,1.0,0.0,2016,Summer,Blue
Ezreal,Zyra,8,0,8,1.0,0.0,2016,Summer,Blue
RekSai,Alistar,34,0,34,1.0,0.0,2016,Summer,Red
Tristana,Alistar,1,0,1,1.0,0.0,2016,Summer,Blue
RekSai,Brand,2,0,2,1.0,0.0,2016,Summer,Red
Jhin,Zyra,12,0,12,1.0,0.0,2016,Summer,Blue
Jax,Kindred,1,0,1,1.0,0.0,2016,Summer,Red
Kindred,Braum,22,0,22,1.0,0.0,2016,Summer,Red
Tristana,Braum,4,0,4,1.0,0.0,2016,Summer,Red
Fiora,Evelynn,1,0,1,1.0,0.0,2016,Summer,Red
Evelynn,TwistedFate,1,0,1,1.0,0.0,2016,Summer,Red
Evelynn,Alistar,1,0,1,1.0,0.0,2016,Summer,Red
Irelia,Evelynn,0,1,1,0.0,1.0,2016,Summer,Blue
Evelynn,TwistedFate,1,0,1,1.0,0.0,2016,Summer,Blue
Evelynn,Karma,1,0,1,1.0,0.0,2016,Summer,Blue
Elise,Lissandra,3,0,3,1.0,0.0,2016,Summer,Red
Elise,Lissandra,2,0,2,1.0,0.0,2016,Summer,Blue
Fiora,Gragas,4,5,9,0.4444444444444444,0.5555555555555556,2016,Summer,Red
Gragas,Zilean,1,0,1,1.0,0.0,2016,Summer,Red
Gragas,Braum,54,0,54,1.0,0.0,2016,Summer,Red
Rumble,RekSai,9,8,17,0.5294117647058824,0.47058823529411764,2016,Summer,Blue
RekSai,Karma,6,0,6,1.0,0.0,2016,Summer,Blue
Shen,Kindred,4,3,7,0.5714285714285714,0.42857142857142855,2016,Summer,Red
Kindred,TwistedFate,3,0,3,1.0,0.0,2016,Summer,Red
Kindred,Lissandra,1,0,1,1.0,0.0,2016,Summer,Blue
Kindred,Braum,23,0,23,1.0,0.0,2016,Summer,Blue
RekSai,Cassiopeia,2,0,2,1.0,0.0,2016,Summer,Red
JarvanIV,Gragas,0,1,1,0.0,1.0,2016,Summer,Blue
Gragas,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Blue
Gragas,Alistar,22,0,22,1.0,0.0,2016,Summer,Blue
Sivir,Alistar,29,0,29,1.0,0.0,2016,Summer,Blue
Trundle,Kindred,5,11,16,0.3125,0.6875,2016,Summer,Blue
Kindred,Ryze,1,0,1,1.0,0.0,2016,Summer,Blue
Kindred,Soraka,3,0,3,1.0,0.0,2016,Summer,Blue
Caitlyn,Soraka,2,0,2,1.0,0.0,2016,Summer,Blue
Lissandra,Nidalee,0,1,1,0.0,1.0,2016,Summer,Red
Nidalee,Zyra,2,0,2,1.0,0.0,2016,Summer,Red
Elise,Morgana,1,0,1,1.0,0.0,2016,Summer,Blue
Lucian,Morgana,2,0,2,1.0,0.0,2016,Summer,Blue
Nidalee,Alistar,14,0,14,1.0,0.0,2016,Summer,Red
Kindred,TwistedFate,4,0,4,1.0,0.0,2016,Summer,Blue
Rumble,Elise,1,2,3,0.3333333333333333,0.6666666666666666,2016,Summer,Red
Elise,Bard,32,0,32,1.0,0.0,2016,Summer,Blue
Trundle,Nidalee,6,8,14,0.42857142857142855,0.5714285714285714,2016,Summer,Red
Nidalee,TwistedFate,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Soraka,2,0,2,1.0,0.0,2016,Summer,Red
Lissandra,RekSai,2,3,5,0.4,0.6,2016,Summer,Blue
Swain,Kindred,1,3,4,0.25,0.75,2016,Summer,Red
Kindred,Azir,1,0,1,1.0,0.0,2016,Summer,Red
Tristana,Alistar,2,0,2,1.0,0.0,2016,Summer,Red
Gragas,Azir,2,0,2,1.0,0.0,2016,Summer,Blue
Gragas,Bard,27,0,27,1.0,0.0,2016,Summer,Blue
RekSai,TwistedFate,1,0,1,1.0,0.0,2016,Summer,Blue
Nidalee,Leblanc,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,Nami,7,0,7,1.0,0.0,2016,Summer,Red
Ashe,Nami,16,0,16,1.0,0.0,2016,Summer,Red
RekSai,Cassiopeia,2,0,2,1.0,0.0,2016,Summer,Blue
Ashe,Nami,10,0,10,1.0,0.0,2016,Summer,Blue
Hecarim,RekSai,3,2,5,0.6,0.4,2016,Summer,Blue
RekSai,Ezreal,1,0,1,1.0,0.0,2016,Summer,Blue
Elise,Cassiopeia,6,0,6,1.0,0.0,2016,Summer,Red
Elise,Thresh,9,0,9,1.0,0.0,2016,Summer,Red
Hecarim,Elise,1,1,2,0.5,0.5,2016,Summer,Blue
Elise,Soraka,8,0,8,1.0,0.0,2016,Summer,Blue
Rumble,RekSai,6,9,15,0.4,0.6,2016,Summer,Red
Lissandra,Kindred,1,0,1,1.0,0.0,2016,Summer,Blue
Elise,Anivia,2,0,2,1.0,0.0,2016,Summer,Red
Jhin,Braum,42,0,42,1.0,0.0,2016,Summer,Red
Poppy,Kindred,0,3,3,0.0,1.0,2016,Summer,Blue
Ezreal,Braum,48,0,48,1.0,0.0,2016,Summer,Red
Elise,Janna,6,0,6,1.0,0.0,2016,Summer,Blue
Lucian,Janna,4,0,4,1.0,0.0,2016,Summer,Blue
Trundle,Olaf,5,6,11,0.45454545454545453,0.5454545454545454,2016,Summer,Red
Olaf,Braum,9,0,9,1.0,0.0,2016,Summer,Red
Shen,Olaf,2,1,3,0.6666666666666666,0.3333333333333333,2016,Summer,Red
Olaf,Cassiopeia,2,0,2,1.0,0.0,2016,Summer,Red
Jhin,Karma,27,0,27,1.0,0.0,2016,Summer,Red
Jax,Olaf,1,1,2,0.5,0.5,2016,Summer,Blue
Olaf,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Blue
Swain,Gragas,3,0,3,1.0,0.0,2016,Summer,Blue
Jhin,Zyra,13,0,13,1.0,0.0,2016,Summer,Red
Trundle,Hecarim,5,3,8,0.625,0.375,2016,Summer,Blue
Hecarim,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Blue
Hecarim,Bard,6,0,6,1.0,0.0,2016,Summer,Blue
Illaoi,RekSai,2,1,3,0.6666666666666666,0.3333333333333333,2016,Summer,Red
Twitch,Braum,7,0,7,1.0,0.0,2016,Summer,Red
Jhin,Braum,38,0,38,1.0,0.0,2016,Summer,Blue
Ryze,Hecarim,0,1,1,0.0,1.0,2016,Summer,Red
Hecarim,Cassiopeia,4,0,4,1.0,0.0,2016,Summer,Red
Hecarim,Zyra,1,0,1,1.0,0.0,2016,Summer,Red
Elise,Varus,2,0,2,1.0,0.0,2016,Summer,Blue
Ezreal,Braum,50,0,50,1.0,0.0,2016,Summer,Blue
Ashe,Karma,25,0,25,1.0,0.0,2016,Summer,Blue
Trundle,Graves,3,9,12,0.25,0.75,2016,Summer,Red
Graves,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Red
Graves,Nami,6,0,6,1.0,0.0,2016,Summer,Red
Olaf,Azir,4,0,4,1.0,0.0,2016,Summer,Red
Shen,Hecarim,13,12,25,0.52,0.48,2016,Summer,Blue
Hecarim,Viktor,1,0,1,1.0,0.0,2016,Summer,Blue
Hecarim,Nami,3,0,3,1.0,0.0,2016,Summer,Blue
Jhin,Nami,20,0,20,1.0,0.0,2016,Summer,Blue
Fiora,Nidalee,3,0,3,1.0,0.0,2016,Summer,Red
Shen,Graves,5,10,15,0.3333333333333333,0.6666666666666666,2016,Summer,Blue
Shen,Graves,4,4,8,0.5,0.5,2016,Summer,Red
Graves,TwistedFate,2,0,2,1.0,0.0,2016,Summer,Red
Graves,Bard,13,0,13,1.0,0.0,2016,Summer,Red
Ashe,Bard,20,0,20,1.0,0.0,2016,Summer,Red
Irelia,Gragas,19,15,34,0.5588235294117647,0.4411764705882353,2016,Summer,Blue
Gragas,Ryze,2,0,2,1.0,0.0,2016,Summer,Blue
Shen,RekSai,19,17,36,0.5277777777777778,0.4722222222222222,2016,Summer,Red
Jax,Gragas,7,0,7,1.0,0.0,2016,Summer,Blue
RekSai,Karthus,1,0,1,1.0,0.0,2016,Summer,Red
Jhin,Trundle,12,0,12,1.0,0.0,2016,Summer,Red
RekSai,Trundle,17,0,17,1.0,0.0,2016,Summer,Blue
Ashe,Trundle,14,0,14,1.0,0.0,2016,Summer,Blue
Shen,Gragas,23,12,35,0.6571428571428571,0.34285714285714286,2016,Summer,Blue
Gragas,Nami,16,0,16,1.0,0.0,2016,Summer,Blue
Trundle,Graves,7,7,14,0.5,0.5,2016,Summer,Blue
Nidalee,Ryze,11,0,11,1.0,0.0,2016,Summer,Blue
Ryze,RekSai,1,2,3,0.3333333333333333,0.6666666666666666,2016,Summer,Blue
Gragas,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Red
Gragas,Nami,11,0,11,1.0,0.0,2016,Summer,Red
Hecarim,Nidalee,1,3,4,0.25,0.75,2016,Summer,Blue
Nidalee,Azir,1,0,1,1.0,0.0,2016,Summer,Blue
Kalista,Braum,11,0,11,1.0,0.0,2016,Summer,Blue
Elise,Leblanc,1,0,1,1.0,0.0,2016,Summer,Red
Nidalee,AurelionSol,2,0,2,1.0,0.0,2016,Summer,Red
Ezreal,Alistar,11,0,11,1.0,0.0,2016,Summer,Red
RekSai,TwistedFate,4,0,4,1.0,0.0,2016,Summer,Red
Hecarim,Lissandra,1,0,1,1.0,0.0,2016,Summer,Blue
Hecarim,Karma,14,0,14,1.0,0.0,2016,Summer,Blue
RekSai,Thresh,23,0,23,1.0,0.0,2016,Summer,Blue
Jhin,Thresh,13,0,13,1.0,0.0,2016,Summer,Blue
Gnar,Elise,20,30,50,0.4,0.6,2016,Summer,Red
Gragas,TwistedFate,3,0,3,1.0,0.0,2016,Summer,Blue
Gnar,RekSai,24,20,44,0.5454545454545454,0.45454545454545453,2016,Summer,Red
Gragas,Leblanc,1,0,1,1.0,0.0,2016,Summer,Blue
Gragas,Braum,38,0,38,1.0,0.0,2016,Summer,Blue
RekSai,Morgana,4,0,4,1.0,0.0,2016,Summer,Blue
Ashe,Morgana,3,0,3,1.0,0.0,2016,Summer,Blue
Ryze,Gragas,0,2,2,0.0,1.0,2016,Summer,Blue
RekSai,Varus,2,0,2,1.0,0.0,2016,Summer,Red
Rumble,Nidalee,2,2,4,0.5,0.5,2016,Summer,Blue
Nidalee,Zyra,5,0,5,1.0,0.0,2016,Summer,Blue
Gragas,TwistedFate,1,0,1,1.0,0.0,2016,Summer,Red
Sivir,Thresh,9,0,9,1.0,0.0,2016,Summer,Red
Graves,Cassiopeia,1,0,1,1.0,0.0,2016,Summer,Blue
Nidalee,Viktor,1,0,1,1.0,0.0,2016,Summer,Red
Jhin,Soraka,5,0,5,1.0,0.0,2016,Summer,Red
Gnar,Gragas,20,20,40,0.5,0.5,2016,Summer,Red
Gragas,Vladimir,2,0,2,1.0,0.0,2016,Summer,Red
Gnar,Gragas,27,14,41,0.6585365853658537,0.34146341463414637,2016,Summer,Blue
Shen,Elise,9,4,13,0.6923076923076923,0.3076923076923077,2016,Summer,Red
Rumble,Graves,0,2,2,0.0,1.0,2016,Summer,Blue
Riven,Elise,2,0,2,1.0,0.0,2016,Summer,Red
Elise,Taliyah,1,0,1,1.0,0.0,2016,Summer,Red
Elise,Soraka,6,0,6,1.0,0.0,2016,Summer,Red
TahmKench,LeeSin,0,1,1,0.0,1.0,2016,Summer,Red
LeeSin,Lissandra,2,0,2,1.0,0.0,2016,Summer,Red
LeeSin,Bard,3,0,3,1.0,0.0,2016,Summer,Red
Gnar,Nidalee,17,10,27,0.6296296296296297,0.37037037037037035,2016,Summer,Blue
Nidalee,Varus,1,0,1,1.0,0.0,2016,Summer,Blue
RekSai,Alistar,28,0,28,1.0,0.0,2016,Summer,Blue
Ashe,Alistar,19,0,19,1.0,0.0,2016,Summer,Blue
Olaf,Gragas,0,2,2,0.0,1.0,2016,Summer,Red
Gangplank,RekSai,7,8,15,0.4666666666666667,0.5333333333333333,2016,Summer,Red
Ryze,Olaf,0,1,1,0.0,1.0,2016,Summer,Blue
Olaf,Zilean,4,0,4,1.0,0.0,2016,Summer,Blue
Olaf,Nami,2,0,2,1.0,0.0,2016,Summer,Blue
Hecarim,RekSai,4,1,5,0.8,0.2,2016,Summer,Red
Gragas,Taliyah,4,0,4,1.0,0.0,2016,Summer,Red
Elise,Thresh,10,0,10,1.0,0.0,2016,Summer,Blue
Lucian,Thresh,13,0,13,1.0,0.0,2016,Summer,Blue
Gnar,Hecarim,1,4,5,0.2,0.8,2016,Summer,Blue
Hecarim,Azir,1,0,1,1.0,0.0,2016,Summer,Blue
Hecarim,Braum,13,0,13,1.0,0.0,2016,Summer,Blue
Shen,Elise,7,11,18,0.3888888888888889,0.6111111111111112,2016,Summer,Blue
RekSai,Soraka,12,0,12,1.0,0.0,2016,Summer,Red
Ashe,Soraka,5,0,5,1.0,0.0,2016,Summer,Red
RekSai,Taliyah,1,0,1,1.0,0.0,2016,Summer,Blue
Hecarim,Azir,2,0,2,1.0,0.0,2016,Summer,Red
Hecarim,Braum,6,0,6,1.0,0.0,2016,Summer,Red
Renekton,RekSai,0,1,1,0.0,1.0,2016,Summer,Blue
Elise,Lulu,1,0,1,1.0,0.0,2016,Summer,Red
Gnar,RekSai,19,22,41,0.4634146341463415,0.5365853658536586,2016,Summer,Blue
RekSai,Ahri,2,0,2,1.0,0.0,2016,Summer,Blue
Gnar,Graves,2,5,7,0.2857142857142857,0.7142857142857143,2016,Summer,Red
RekSai,Anivia,1,0,1,1.0,0.0,2016,Summer,Blue
RekSai,AurelionSol,1,0,1,1.0,0.0,2016,Summer,Red
Hecarim,Gragas,0,2,2,0.0,1.0,2016,Summer,Red
Gragas,Ryze,1,0,1,1.0,0.0,2016,Summer,Red
Gragas,Morgana,7,0,7,1.0,0.0,2016,Summer,Red
