PERCENTDEFEAT,CHAMP1,TEAM,CHAMP1_POSITION,SEASON,YEAR,CHAMP2,CHAMP2_POSITION,VICTORY,DEFEAT,TOTALPLAYED,PERCENTVICTORY
1.0,Shen,Red,TOP_LANER,Summer,2017,Camille,JUNGLER,0,1,1,0.0
1,Khazix,Blue,JUNGLER,Summer,2017,Kennen,SUPPORT,0,2,2,0
1.0,Sejuani,Blue,JUNGLER,Spring,2018,Zilean,MID_LANER,0,1,1,0.0
0.0,Ryze,Blue,TOP_LANER,Summer,2014,JarvanIV,JUNGLER,1,0,1,1.0
0.0,Corki,Blue,AD_CARRY,Summer,2016,Bard,SUPPORT,1,0,1,1.0
0.0,Xayah,Red,AD_CARRY,Summer,2017,Bard,SUPPORT,1,0,1,1.0
0,Graves,Red,AD_CARRY,Summer,2016,Bard,SUPPORT,1,2,3,0
0.0,LeeSin,Blue,JUNGLER,Spring,2017,Soraka,SUPPORT,1,0,1,1.0
0.0,Sivir,Red,AD_CARRY,Spring,2016,TahmKench,SUPPORT,1,0,1,1.0
0.0,Ashe,Red,AD_CARRY,Spring,2016,Braum,SUPPORT,1,0,1,1.0
0.0,Maokai,Red,TOP_LANER,Spring,2016,Graves,JUNGLER,1,0,1,1.0
0.0,JarvanIV,Red,TOP_LANER,Summer,2017,Graves,JUNGLER,1,0,1,1.0
0,JarvanIV,Red,JUNGLER,Summer,2017,Lucian,MID_LANER,1,2,3,0
0.0,Hecarim,Blue,TOP_LANER,Summer,2015,Nunu,JUNGLER,1,0,1,1.0
0.0,Poppy,Blue,JUNGLER,Spring,2016,Viktor,MID_LANER,1,0,1,1.0
0.0,Tristana,Blue,AD_CARRY,Summer,2016,Alistar,SUPPORT,1,0,1,1.0
0,Hecarim,Red,TOP_LANER,Spring,2015,Gragas,JUNGLER,1,3,4,0
1.0,Rengar,Red,AD_CARRY,Spring,2017,Sona,SUPPORT,0,1,1,0.0
0.0,Graves,Red,JUNGLER,Summer,2016,Gangplank,MID_LANER,1,0,1,1.0
0.0,Nocturne,Blue,JUNGLER,Spring,2017,Leblanc,MID_LANER,1,0,1,1.0
0.0,Varus,Blue,AD_CARRY,Spring,2018,Thresh,SUPPORT,1,0,1,1.0
1.0,Hecarim,Red,JUNGLER,Summer,2015,Azir,MID_LANER,0,1,1,0.0
0.0,Fizz,Blue,TOP_LANER,Summer,2015,Nidalee,JUNGLER,1,0,1,1.0
1,Kalista,Red,AD_CARRY,Summer,2015,Braum,SUPPORT,0,4,4,0
1.0,Kennen,Red,TOP_LANER,Summer,2015,Evelynn,JUNGLER,0,1,1,0.0
1.0,Kalista,Blue,AD_CARRY,Spring,2018,Morgana,SUPPORT,0,1,1,0.0
0.0,Gragas,Red,JUNGLER,Summer,2017,Nasus,MID_LANER,1,0,1,1.0
0,Ashe,Red,AD_CARRY,Summer,2016,Trundle,SUPPORT,1,2,3,0
0.0,Rammus,Blue,JUNGLER,Summer,2017,Lulu,SUPPORT,1,0,1,1.0
0,Pantheon,Red,JUNGLER,Spring,2015,Lissandra,MID_LANER,1,1,2,0
0,Morgana,Red,TOP_LANER,Spring,2016,RekSai,JUNGLER,1,1,2,0
0.0,RekSai,Blue,JUNGLER,Spring,2016,TwistedFate,MID_LANER,1,0,1,1.0
0.0,Kindred,Red,JUNGLER,Spring,2016,Ezreal,MID_LANER,1,0,1,1.0
0.0,Elise,Blue,JUNGLER,Summer,2015,Alistar,SUPPORT,1,0,1,1.0
0.0,Fiora,Blue,TOP_LANER,Summer,2017,Ivern,JUNGLER,1,0,1,1.0
0.0,Corki,Blue,AD_CARRY,Summer,2014,Thresh,SUPPORT,1,0,1,1.0
0.0,Renekton,Red,TOP_LANER,Summer,2015,RekSai,JUNGLER,1,0,1,1.0
0.0,Nautilus,Blue,TOP_LANER,Spring,2016,Kindred,JUNGLER,1,0,1,1.0
0.0,Nunu,Red,JUNGLER,Spring,2017,Fizz,MID_LANER,1,0,1,1.0
1.0,Leblanc,Blue,JUNGLER,Spring,2016,Evelynn,SUPPORT,0,1,1,0.0
0,Lucian,Blue,AD_CARRY,Spring,2017,Nautilus,SUPPORT,1,1,2,0
0.0,Gnar,Red,TOP_LANER,Summer,2015,Nunu,JUNGLER,1,0,1,1.0
0.0,Gragas,Blue,TOP_LANER,Spring,2016,Elise,JUNGLER,1,0,1,1.0
1.0,Gragas,Red,TOP_LANER,Summer,2017,Chogath,JUNGLER,0,1,1,0.0
0.0,Ezreal,Red,AD_CARRY,Summer,2017,Zyra,SUPPORT,1,0,1,1.0
0,KogMaw,Blue,AD_CARRY,Spring,2016,Braum,SUPPORT,1,1,2,0
0,Nautilus,Red,TOP_LANER,Spring,2017,RekSai,JUNGLER,1,2,3,0
1.0,Maokai,Red,TOP_LANER,Summer,2017,Chogath,JUNGLER,0,1,1,0.0
0.0,Gangplank,Blue,TOP_LANER,Spring,2017,LeeSin,JUNGLER,1,0,1,1.0
0.0,Maokai,Red,AD_CARRY,Summer,2017,Zyra,SUPPORT,1,0,1,1.0
1,Zac,Blue,JUNGLER,Summer,2016,Bard,SUPPORT,0,2,2,0
0.0,Trundle,Blue,TOP_LANER,Spring,2016,RekSai,JUNGLER,1,0,1,1.0
0.0,Hecarim,Red,JUNGLER,Spring,2017,Morgana,MID_LANER,1,0,1,1.0
0,Vayne,Blue,AD_CARRY,Spring,2016,Morgana,SUPPORT,1,1,2,0
0.0,Khazix,Red,AD_CARRY,Spring,2017,Nautilus,SUPPORT,1,0,1,1.0
0,Sejuani,Blue,JUNGLER,Summer,2017,Alistar,SUPPORT,1,1,2,0
1.0,Gragas,Red,TOP_LANER,Summer,2017,XinZhao,JUNGLER,0,1,1,0.0
1.0,Nidalee,Red,JUNGLER,Summer,2015,KogMaw,MID_LANER,0,1,1,0.0
0,Elise,Blue,JUNGLER,Summer,2014,Jayce,MID_LANER,1,1,2,0
0.0,Jayce,Blue,TOP_LANER,Spring,2017,Graves,JUNGLER,1,0,1,1.0
1.0,JarvanIV,Red,JUNGLER,Summer,2017,Ekko,MID_LANER,0,1,1,0.0
0.0,Ezreal,Red,AD_CARRY,Summer,2017,Janna,SUPPORT,1,0,1,1.0
0.0,RekSai,Red,JUNGLER,Spring,2017,Cassiopeia,MID_LANER,1,0,1,1.0
0.0,RekSai,Red,AD_CARRY,Spring,2017,Thresh,SUPPORT,1,0,1,1.0
0,Rumble,Red,TOP_LANER,Spring,2015,JarvanIV,JUNGLER,1,1,2,0
1,Ashe,Red,AD_CARRY,Summer,2015,Janna,SUPPORT,0,2,2,0
0.0,Nocturne,Blue,JUNGLER,Spring,2015,Xerath,MID_LANER,1,0,1,1.0
0,Malphite,Red,TOP_LANER,Spring,2016,Elise,JUNGLER,1,3,4,0
0.0,Gragas,Red,JUNGLER,Spring,2015,KogMaw,MID_LANER,1,0,1,1.0
0.0,Nunu,Blue,JUNGLER,Summer,2017,Orianna,MID_LANER,1,0,1,1.0
0.0,JarvanIV,Blue,JUNGLER,Spring,2018,Zoe,MID_LANER,1,0,1,1.0
0.0,Khazix,Red,JUNGLER,Summer,2017,Galio,MID_LANER,1,0,1,1.0
1.0,Zac,Blue,JUNGLER,Spring,2017,Viktor,MID_LANER,0,1,1,0.0
0,Tristana,Red,AD_CARRY,Summer,2017,Bard,SUPPORT,1,3,4,0
1.0,Sivir,Red,AD_CARRY,Summer,2015,Lulu,SUPPORT,0,1,1,0.0
0.0,Zac,Red,AD_CARRY,Spring,2018,Zilean,SUPPORT,1,0,1,1.0
0,Corki,Red,AD_CARRY,Summer,2015,Morgana,SUPPORT,1,2,3,0
1.0,Ekko,Blue,JUNGLER,Spring,2016,Alistar,SUPPORT,0,1,1,0.0
0,Rengar,Red,AD_CARRY,Spring,2017,Bard,SUPPORT,1,1,2,0
1,DrMundo,Blue,TOP_LANER,Spring,2015,RekSai,JUNGLER,0,4,4,0
0.0,Elise,Blue,JUNGLER,Summer,2015,Lulu,MID_LANER,1,0,1,1.0
1.0,Zac,Blue,JUNGLER,Spring,2017,Azir,MID_LANER,0,1,1,0.0
1.0,Evelynn,Blue,JUNGLER,Spring,2018,Leblanc,MID_LANER,0,1,1,0.0
1.0,Kindred,Red,AD_CARRY,Spring,2016,Shen,SUPPORT,0,1,1,0.0
0.0,LeeSin,Blue,JUNGLER,Spring,2016,Viktor,MID_LANER,1,0,1,1.0
1,Olaf,Red,JUNGLER,Summer,2017,Lucian,MID_LANER,0,3,3,0
0.0,Hecarim,Blue,TOP_LANER,Summer,2015,Nidalee,JUNGLER,1,0,1,1.0
1.0,Olaf,Red,JUNGLER,Summer,2016,Kassadin,MID_LANER,0,1,1,0.0
0.0,Jhin,Blue,AD_CARRY,Spring,2017,Thresh,SUPPORT,1,0,1,1.0
0.0,Ezreal,Blue,AD_CARRY,Spring,2017,Malzahar,SUPPORT,1,0,1,1.0
0.0,Malzahar,Red,JUNGLER,Summer,2016,Azir,MID_LANER,1,0,1,1.0
0.0,Nidalee,Blue,JUNGLER,Spring,2015,Ahri,MID_LANER,1,0,1,1.0
0.0,Lucian,Red,AD_CARRY,Summer,2016,Nautilus,SUPPORT,1,0,1,1.0
0.0,Kalista,Blue,AD_CARRY,Spring,2016,Brand,SUPPORT,1,0,1,1.0
1.0,Ivern,Blue,JUNGLER,Summer,2017,Lucian,MID_LANER,0,1,1,0.0
0,Shen,Red,TOP_LANER,Summer,2017,Chogath,JUNGLER,1,1,2,0
0.0,Elise,Blue,JUNGLER,Spring,2017,Velkoz,MID_LANER,1,0,1,1.0
1.0,Rumble,Blue,JUNGLER,Spring,2016,Bard,SUPPORT,0,1,1,0.0
0,Olaf,Blue,JUNGLER,Summer,2017,Alistar,SUPPORT,1,1,2,0
0,LeeSin,Blue,JUNGLER,Summer,2014,Jayce,MID_LANER,1,1,2,0
1.0,Graves,Red,JUNGLER,Spring,2017,Kayle,MID_LANER,0,1,1,0.0
1.0,Sejuani,Blue,JUNGLER,Summer,2016,Azir,MID_LANER,0,1,1,0.0
0.0,Nautilus,Red,TOP_LANER,Summer,2016,Nidalee,JUNGLER,1,0,1,1.0
0.0,LeeSin,Red,AD_CARRY,Summer,2017,Zyra,SUPPORT,1,0,1,1.0
1.0,Morgana,Blue,TOP_LANER,Spring,2015,Gragas,JUNGLER,0,1,1,0.0
0.0,Cassiopeia,Blue,TOP_LANER,Spring,2015,Gragas,JUNGLER,1,0,1,1.0
0,Ezreal,Red,AD_CARRY,Summer,2016,Alistar,SUPPORT,1,2,3,0
0,Maokai,Red,TOP_LANER,Spring,2015,JarvanIV,JUNGLER,1,1,2,0
0,RekSai,Blue,JUNGLER,Spring,2015,Braum,SUPPORT,1,1,2,0
0,Khazix,Red,AD_CARRY,Spring,2017,Nami,SUPPORT,1,1,2,0
0.0,JarvanIV,Red,TOP_LANER,Summer,2017,Jax,JUNGLER,1,0,1,1.0
1.0,DrMundo,Red,TOP_LANER,Spring,2015,Nunu,JUNGLER,0,1,1,0.0
0,Ashe,Blue,AD_CARRY,Summer,2016,Soraka,SUPPORT,1,3,4,0
0.0,Hecarim,Blue,TOP_LANER,Summer,2015,LeeSin,JUNGLER,1,0,1,1.0
1.0,Rumble,Red,JUNGLER,Spring,2017,Talon,MID_LANER,0,1,1,0.0
0.0,Nidalee,Blue,JUNGLER,Summer,2016,Corki,MID_LANER,1,0,1,1.0
0,MissFortune,Blue,AD_CARRY,Spring,2017,TahmKench,SUPPORT,1,1,2,0
0.0,Nidalee,Blue,JUNGLER,Spring,2015,Janna,SUPPORT,1,0,1,1.0
1,Chogath,Red,TOP_LANER,Spring,2018,Khazix,JUNGLER,0,3,3,0
0.0,Nidalee,Blue,JUNGLER,Spring,2016,Brand,SUPPORT,1,0,1,1.0
1.0,Shen,Red,TOP_LANER,Spring,2017,Kindred,JUNGLER,0,1,1,0.0
1,RekSai,Red,JUNGLER,Spring,2017,Azir,MID_LANER,0,3,3,0
0.0,Rumble,Blue,TOP_LANER,Summer,2014,Rengar,JUNGLER,1,0,1,1.0
1.0,Draven,Red,AD_CARRY,Spring,2017,Leona,SUPPORT,0,1,1,0.0
0.0,Ivern,Red,JUNGLER,Spring,2018,Ryze,MID_LANER,1,0,1,1.0
1.0,Shyvana,Red,AD_CARRY,Spring,2017,TahmKench,SUPPORT,0,1,1,0.0
0,Gnar,Red,TOP_LANER,Spring,2015,Nidalee,JUNGLER,1,3,4,0
0,Gnar,Red,TOP_LANER,Spring,2017,Graves,JUNGLER,1,1,2,0
0.0,Ezreal,Red,AD_CARRY,Spring,2015,Kennen,SUPPORT,1,0,1,1.0
1,LeeSin,Red,JUNGLER,Summer,2015,Cassiopeia,MID_LANER,0,2,2,0
0.0,Gragas,Blue,JUNGLER,Spring,2016,Yasuo,MID_LANER,1,0,1,1.0
1.0,JarvanIV,Red,JUNGLER,Summer,2016,Viktor,MID_LANER,0,1,1,0.0
0.0,Graves,Blue,TOP_LANER,Summer,2016,Amumu,JUNGLER,1,0,1,1.0
1.0,Malphite,Red,TOP_LANER,Summer,2015,LeeSin,JUNGLER,0,1,1,0.0
0,Graves,Blue,AD_CARRY,Spring,2015,Nami,SUPPORT,1,3,4,0
1.0,Sejuani,Blue,TOP_LANER,Summer,2017,Graves,JUNGLER,0,1,1,0.0
0.0,KogMaw,Blue,AD_CARRY,Spring,2015,Thresh,SUPPORT,1,0,1,1.0
0.0,Gangplank,Blue,TOP_LANER,Spring,2016,Nidalee,JUNGLER,1,0,1,1.0
0,LeeSin,Blue,JUNGLER,Summer,2017,Bard,SUPPORT,1,1,2,0
0,Nunu,Blue,JUNGLER,Summer,2015,Alistar,SUPPORT,1,1,2,0
1.0,Nidalee,Blue,JUNGLER,Spring,2018,Malzahar,MID_LANER,0,1,1,0.0
0,Gnar,Blue,TOP_LANER,Summer,2016,Hecarim,JUNGLER,1,3,4,0
1.0,Caitlyn,Red,AD_CARRY,Spring,2017,Blitzcrank,SUPPORT,0,1,1,0.0
1.0,JarvanIV,Blue,JUNGLER,Summer,2015,Ahri,MID_LANER,0,1,1,0.0
0.0,Gragas,Blue,JUNGLER,Spring,2016,Kassadin,MID_LANER,1,0,1,1.0
0.0,Sejuani,Blue,JUNGLER,Spring,2018,Orianna,MID_LANER,1,0,1,1.0
0.0,Maokai,Red,TOP_LANER,Spring,2015,RekSai,JUNGLER,1,0,1,1.0
1.0,Elise,Blue,JUNGLER,Spring,2015,Lissandra,MID_LANER,0,1,1,0.0
0,RekSai,Red,JUNGLER,Summer,2016,Vladimir,MID_LANER,1,1,2,0
0,Darius,Blue,TOP_LANER,Summer,2015,Elise,JUNGLER,1,1,2,0
0.0,Gangplank,Red,TOP_LANER,Summer,2016,Graves,JUNGLER,1,0,1,1.0
0.0,Kassadin,Red,TOP_LANER,Summer,2015,Elise,JUNGLER,1,0,1,1.0
0,Gragas,Red,JUNGLER,Summer,2015,Zed,MID_LANER,1,1,2,0
0.0,Sejuani,Blue,JUNGLER,Summer,2017,Karma,SUPPORT,1,0,1,1.0
0.0,Camille,Blue,TOP_LANER,Summer,2017,JarvanIV,JUNGLER,1,0,1,1.0
0,Gangplank,Blue,TOP_LANER,Summer,2015,Gragas,JUNGLER,1,1,2,0
0,Rammus,Blue,TOP_LANER,Spring,2016,Gragas,JUNGLER,1,1,2,0
0.0,Ezreal,Blue,AD_CARRY,Spring,2017,Thresh,SUPPORT,1,0,1,1.0
0.0,RekSai,Red,AD_CARRY,Summer,2016,Thresh,SUPPORT,1,0,1,1.0
0.0,Khazix,Blue,JUNGLER,Spring,2015,Ziggs,MID_LANER,1,0,1,1.0
0.0,Renekton,Red,TOP_LANER,Spring,2017,Khazix,JUNGLER,1,0,1,1.0
0.0,Ashe,Blue,AD_CARRY,Spring,2017,Braum,SUPPORT,1,0,1,1.0
1.0,Riven,Red,TOP_LANER,Spring,2016,Graves,JUNGLER,0,1,1,0.0
1.0,Shen,Red,TOP_LANER,Summer,2017,Rakan,JUNGLER,0,1,1,0.0
0.0,Maokai,Red,TOP_LANER,Summer,2015,LeeSin,JUNGLER,1,0,1,1.0
1.0,Pantheon,Red,AD_CARRY,Summer,2017,TwistedFate,SUPPORT,0,1,1,0.0
0,Elise,Red,JUNGLER,Spring,2016,Varus,MID_LANER,1,4,5,0
0.0,Vi,Blue,JUNGLER,Spring,2015,Xerath,MID_LANER,1,0,1,1.0
0.0,Maokai,Red,TOP_LANER,Summer,2016,Gragas,JUNGLER,1,0,1,1.0
1.0,Jinx,Red,AD_CARRY,Spring,2016,Janna,SUPPORT,0,1,1,0.0
0.0,Gragas,Red,JUNGLER,Summer,2015,Syndra,MID_LANER,1,0,1,1.0
0.0,Lucian,Blue,AD_CARRY,Spring,2017,Nami,SUPPORT,1,0,1,1.0
0.0,Malphite,Red,TOP_LANER,Summer,2017,LeeSin,JUNGLER,1,0,1,1.0
0.0,Graves,Red,JUNGLER,Summer,2017,Viktor,MID_LANER,1,0,1,1.0
1.0,Hecarim,Red,AD_CARRY,Spring,2015,Braum,SUPPORT,0,1,1,0.0
0.0,Lissandra,Blue,TOP_LANER,Summer,2015,LeeSin,JUNGLER,1,0,1,1.0
0.0,Zac,Blue,JUNGLER,Summer,2017,Alistar,SUPPORT,1,0,1,1.0
0.0,Kindred,Red,AD_CARRY,Summer,2015,Alistar,SUPPORT,1,0,1,1.0
0.0,Yasuo,Blue,TOP_LANER,Summer,2017,Gragas,JUNGLER,1,0,1,1.0
0,Ashe,Blue,AD_CARRY,Summer,2016,Nami,SUPPORT,1,4,5,0
0.0,JarvanIV,Blue,TOP_LANER,Summer,2017,Zac,JUNGLER,1,0,1,1.0
0.0,Kled,Red,TOP_LANER,Summer,2017,Khazix,JUNGLER,1,0,1,1.0
1.0,RekSai,Red,JUNGLER,Spring,2016,Velkoz,MID_LANER,0,1,1,0.0
0.0,Poppy,Blue,TOP_LANER,Spring,2016,Nunu,JUNGLER,1,0,1,1.0
0.0,Lulu,Red,TOP_LANER,Spring,2015,Elise,JUNGLER,1,0,1,1.0
1.0,Renekton,Blue,TOP_LANER,Spring,2018,Maokai,JUNGLER,0,1,1,0.0
0,Kindred,Red,AD_CARRY,Spring,2016,Janna,SUPPORT,1,1,2,0
0.0,Zac,Blue,JUNGLER,Summer,2017,Lucian,MID_LANER,1,0,1,1.0
1.0,Khazix,Blue,JUNGLER,Summer,2016,Alistar,SUPPORT,0,1,1,0.0
1.0,Hecarim,Red,TOP_LANER,Spring,2016,LeeSin,JUNGLER,0,1,1,0.0
0.0,Sion,Red,TOP_LANER,Spring,2015,RekSai,JUNGLER,1,0,1,1.0
1.0,Rammus,Blue,JUNGLER,Spring,2015,Braum,SUPPORT,0,1,1,0.0
0.0,Rengar,Blue,JUNGLER,Summer,2014,Braum,SUPPORT,1,0,1,1.0
0,Gragas,Red,JUNGLER,Spring,2015,Diana,MID_LANER,1,1,2,0
0.0,JarvanIV,Blue,TOP_LANER,Summer,2017,Khazix,JUNGLER,1,0,1,1.0
0,Fiora,Red,TOP_LANER,Spring,2016,RekSai,JUNGLER,1,4,5,0
0.0,Fiora,Red,TOP_LANER,Summer,2016,RekSai,JUNGLER,1,0,1,1.0
1.0,Elise,Red,JUNGLER,Spring,2016,Chogath,MID_LANER,0,1,1,0.0
0,LeeSin,Blue,JUNGLER,Spring,2015,Syndra,MID_LANER,1,1,2,0
1,Jayce,Red,TOP_LANER,Summer,2017,LeeSin,JUNGLER,0,2,2,0
0.0,Ornn,Blue,TOP_LANER,Spring,2018,Camille,JUNGLER,1,0,1,1.0
0,Elise,Red,AD_CARRY,Spring,2016,TahmKench,SUPPORT,1,1,2,0
0,Khazix,Blue,JUNGLER,Summer,2014,Thresh,SUPPORT,1,2,3,0
0.0,JarvanIV,Blue,JUNGLER,Summer,2015,Zed,MID_LANER,1,0,1,1.0
0,Ryze,Blue,TOP_LANER,Summer,2016,RekSai,JUNGLER,1,2,3,0
0.0,Twitch,Red,AD_CARRY,Spring,2015,Thresh,SUPPORT,1,0,1,1.0
1.0,Skarner,Red,AD_CARRY,Summer,2016,Alistar,SUPPORT,0,1,1,0.0
0,Renekton,Blue,TOP_LANER,Summer,2017,LeeSin,JUNGLER,1,1,2,0
0.0,Nidalee,Blue,JUNGLER,Summer,2015,Morgana,SUPPORT,1,0,1,1.0
1.0,Rengar,Red,JUNGLER,Summer,2015,KogMaw,MID_LANER,0,1,1,0.0
1.0,Sejuani,Red,JUNGLER,Summer,2017,Talon,MID_LANER,0,1,1,0.0
0,Gragas,Blue,TOP_LANER,Summer,2017,Elise,JUNGLER,1,4,5,0
0.0,Khazix,Red,JUNGLER,Spring,2018,Ryze,MID_LANER,1,0,1,1.0
0,Gangplank,Red,TOP_LANER,Spring,2018,JarvanIV,JUNGLER,1,1,2,0
0,JarvanIV,Blue,JUNGLER,Summer,2017,Lulu,SUPPORT,1,2,3,0
1.0,Olaf,Red,TOP_LANER,Spring,2015,Sejuani,JUNGLER,0,1,1,0.0
1.0,Heimerdinger,Red,TOP_LANER,Spring,2017,Ekko,JUNGLER,0,1,1,0.0
1.0,Varus,Red,AD_CARRY,Summer,2015,Annie,SUPPORT,0,1,1,0.0
0,Xayah,Red,AD_CARRY,Summer,2017,TahmKench,SUPPORT,1,2,3,0
0.0,Ezreal,Blue,AD_CARRY,Spring,2016,Karma,SUPPORT,1,0,1,1.0
0.0,Chogath,Red,TOP_LANER,Spring,2018,Gragas,JUNGLER,1,0,1,1.0
0.0,Kennen,Blue,AD_CARRY,Spring,2017,Zyra,SUPPORT,1,0,1,1.0
1.0,Shyvana,Red,TOP_LANER,Summer,2015,RekSai,JUNGLER,0,1,1,0.0
1.0,JarvanIV,Blue,JUNGLER,Summer,2017,Talon,MID_LANER,0,1,1,0.0
1.0,Jax,Red,TOP_LANER,Spring,2015,Khazix,JUNGLER,0,1,1,0.0
0.0,Tristana,Blue,AD_CARRY,Summer,2017,Braum,SUPPORT,1,0,1,1.0
1.0,Nunu,Blue,JUNGLER,Spring,2015,Xerath,MID_LANER,0,1,1,0.0
1.0,Gragas,Blue,JUNGLER,Spring,2015,Alistar,SUPPORT,0,1,1,0.0
0.0,Lissandra,Red,TOP_LANER,Summer,2016,Hecarim,JUNGLER,1,0,1,1.0
0.0,Vladimir,Red,TOP_LANER,Spring,2016,Elise,JUNGLER,1,0,1,1.0
0.0,RekSai,Blue,JUNGLER,Summer,2015,Thresh,SUPPORT,1,0,1,1.0
0.0,Gragas,Red,AD_CARRY,Summer,2016,Zyra,SUPPORT,1,0,1,1.0
1,Nidalee,Red,JUNGLER,Summer,2016,Zed,MID_LANER,0,2,2,0
0.0,Lucian,Blue,AD_CARRY,Summer,2016,Brand,SUPPORT,1,0,1,1.0
0.0,Malphite,Red,TOP_LANER,Spring,2016,Gragas,JUNGLER,1,0,1,1.0
0,Fiora,Red,TOP_LANER,Spring,2016,Gragas,JUNGLER,1,1,2,0
1,Khazix,Red,AD_CARRY,Summer,2014,Blitzcrank,SUPPORT,0,2,2,0
1.0,Nidalee,Blue,JUNGLER,Spring,2015,Urgot,MID_LANER,0,1,1,0.0
0.0,Gnar,Blue,TOP_LANER,Spring,2016,Elise,JUNGLER,1,0,1,1.0
0.0,Elise,Red,JUNGLER,Summer,2017,Cassiopeia,MID_LANER,1,0,1,1.0
0.0,Graves,Red,JUNGLER,Spring,2016,Leblanc,MID_LANER,1,0,1,1.0
0.0,Nautilus,Blue,TOP_LANER,Spring,2017,Gragas,JUNGLER,1,0,1,1.0
0,Elise,Blue,JUNGLER,Spring,2016,Trundle,SUPPORT,1,3,4,0
0,Jhin,Red,AD_CARRY,Summer,2016,Thresh,SUPPORT,1,2,3,0
0.0,Nidalee,Blue,JUNGLER,Spring,2016,Viktor,MID_LANER,1,0,1,1.0
1,Corki,Red,AD_CARRY,Summer,2015,Trundle,SUPPORT,0,2,2,0
0.0,Rengar,Red,JUNGLER,Spring,2017,Talon,MID_LANER,1,0,1,1.0
0,Gragas,Red,AD_CARRY,Summer,2015,Braum,SUPPORT,1,1,2,0
0.0,KogMaw,Red,AD_CARRY,Spring,2017,Brand,SUPPORT,1,0,1,1.0
0.0,Rumble,Red,TOP_LANER,Spring,2018,JarvanIV,JUNGLER,1,0,1,1.0
0.0,Trundle,Red,TOP_LANER,Summer,2017,Elise,JUNGLER,1,0,1,1.0
0,Lulu,Blue,TOP_LANER,Spring,2015,Rengar,JUNGLER,1,1,2,0
1,Kalista,Red,AD_CARRY,Summer,2017,Galio,SUPPORT,0,3,3,0
0.0,Zac,Red,JUNGLER,Summer,2017,Leblanc,MID_LANER,1,0,1,1.0
0,Evelynn,Blue,JUNGLER,Summer,2015,Cassiopeia,MID_LANER,1,4,5,0
0.0,Gragas,Red,JUNGLER,Summer,2015,Corki,MID_LANER,1,0,1,1.0
1.0,Poppy,Blue,TOP_LANER,Spring,2016,Rumble,JUNGLER,0,1,1,0.0
1.0,Rumble,Blue,JUNGLER,Spring,2016,Poppy,SUPPORT,0,1,1,0.0
0.0,Rammus,Red,AD_CARRY,Spring,2017,Lulu,SUPPORT,1,0,1,1.0
0,RekSai,Blue,JUNGLER,Summer,2016,Bard,SUPPORT,1,1,2,0
1.0,TahmKench,Blue,TOP_LANER,Spring,2017,Graves,JUNGLER,0,1,1,0.0
0.0,LeeSin,Red,JUNGLER,Spring,2015,Ezreal,MID_LANER,1,0,1,1.0
0,Elise,Blue,JUNGLER,Summer,2017,Leblanc,MID_LANER,1,3,4,0
1.0,TahmKench,Red,TOP_LANER,Spring,2016,DrMundo,JUNGLER,0,1,1,0.0
0,Graves,Red,JUNGLER,Spring,2017,Azir,MID_LANER,1,2,3,0
0.0,Jhin,Red,AD_CARRY,Summer,2016,Bard,SUPPORT,1,0,1,1.0
0,RekSai,Blue,JUNGLER,Summer,2016,Kassadin,MID_LANER,1,2,3,0
0.0,Draven,Red,AD_CARRY,Spring,2017,Karma,SUPPORT,1,0,1,1.0
0.0,Gragas,Red,AD_CARRY,Summer,2016,Brand,SUPPORT,1,0,1,1.0
0,Vi,Red,AD_CARRY,Spring,2015,Leona,SUPPORT,1,1,2,0
0.0,Graves,Red,JUNGLER,Summer,2016,Xerath,MID_LANER,1,0,1,1.0
1.0,Evelynn,Red,JUNGLER,Spring,2017,Orianna,MID_LANER,0,1,1,0.0
0.0,Sejuani,Blue,JUNGLER,Spring,2018,Zoe,MID_LANER,1,0,1,1.0
1,Nautilus,Red,TOP_LANER,Summer,2016,LeeSin,JUNGLER,0,2,2,0
0,Varus,Blue,AD_CARRY,Spring,2017,Zyra,SUPPORT,1,1,2,0
0.0,Olaf,Blue,JUNGLER,Spring,2017,Cassiopeia,MID_LANER,1,0,1,1.0
0.0,KogMaw,Red,AD_CARRY,Spring,2016,Bard,SUPPORT,1,0,1,1.0
0,Renekton,Blue,TOP_LANER,Summer,2017,Nidalee,JUNGLER,1,1,2,0
0.0,Olaf,Blue,JUNGLER,Summer,2016,Taliyah,MID_LANER,1,0,1,1.0
0.0,Graves,Blue,JUNGLER,Summer,2016,Lissandra,MID_LANER,1,0,1,1.0
1.0,Camille,Red,JUNGLER,Spring,2017,Malzahar,MID_LANER,0,1,1,0.0
1.0,Renekton,Red,TOP_LANER,Spring,2018,Maokai,JUNGLER,0,1,1,0.0
1.0,Khazix,Red,AD_CARRY,Spring,2017,Soraka,SUPPORT,0,1,1,0.0
0.0,Khazix,Blue,JUNGLER,Spring,2015,Janna,SUPPORT,1,0,1,1.0
0.0,Gragas,Blue,JUNGLER,Summer,2017,Taric,SUPPORT,1,0,1,1.0
0.0,Fiora,Red,TOP_LANER,Summer,2016,Nidalee,JUNGLER,1,0,1,1.0
0.0,Graves,Red,AD_CARRY,Spring,2016,Soraka,SUPPORT,1,0,1,1.0
0.0,Lucian,Blue,TOP_LANER,Summer,2017,Gragas,JUNGLER,1,0,1,1.0
