,time,quantidade_vitorias,champ1,champ2,ano,season,champComp
975,RED,20,Camille,Varus,2017,Spring,Camille/Varus
976,RED,20,Gnar,Corki,2015,Spring,Gnar/Corki
977,RED,20,Maokai,Tristana,2015,Spring,Maokai/Tristana
978,RED,20,Poppy,Ezreal,2017,Spring,Poppy/Ezreal
979,RED,20,Rumble,Jhin,2016,Summer,Rumble/Jhin
980,RED,20,Ryze,Lucian,2016,Summer,Ryze/Lucian
981,RED,20,Shen,Caitlyn,2017,Spring,Shen/Caitlyn
982,RED,20,Trundle,Ashe,2016,Summer,Trundle/Ashe
983,RED,20,Gragas,Blitzcrank,2017,Summer,Gragas/Blitzcrank
984,RED,20,Graves,Trundle,2016,Spring,Graves/Trundle
985,RED,20,LeeSin,Janna,2015,Spring,LeeSin/Janna
986,RED,20,Maokai,Nami,2017,Spring,Maokai/Nami
987,RED,20,Nautilus,Malzahar,2017,Spring,Nautilus/Malzahar
988,RED,20,Olaf,Karma,2016,Summer,Olaf/Karma
989,RED,20,Ahri,Graves,2017,Spring,Ahri/Graves
990,RED,20,Cassiopeia,LeeSin,2017,Spring,Cassiopeia/LeeSin
991,RED,20,Corki,Khazix,2017,Spring,Corki/Khazix
992,RED,20,Corki,Tristana,2017,Summer,Corki/Tristana
993,RED,20,Kassadin,Sivir,2015,Spring,Kassadin/Sivir
994,RED,20,Lulu,Lucian,2016,Spring,Lulu/Lucian
995,RED,20,Orianna,Kalista,2016,Spring,Orianna/Kalista
996,RED,20,Varus,Corki,2015,Summer,Varus/Corki
997,RED,20,Ezreal,Thresh,2015,Summer,Ezreal/Thresh
998,RED,20,Lulu,Alistar,2016,Spring,Lulu/Alistar
999,RED,20,Graves,Caitlyn,2017,Spring,Graves/Caitlyn
